narration_id,video_id,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class
M5-24_1,M5-24,360,488,Open inner packaging and remove applicator.,1,1,1,1
M5-24_2,M5-24,502,658,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-24_3,M5-24,666,697,Insert plunger into applicator.,4,4,4,4
M5-24_4,M5-24,712,863,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-24_5,M5-24,885,1006,Apply manual pressure if necessary.,0,0,0,0
M5-25_0,M5-25,226,1165,Apply manual pressure if necessary.,0,0,0,0
M5-25_1,M5-25,315,942,Open inner packaging and remove applicator.,1,1,1,1
M5-25_2,M5-25,1039,1214,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-25_3,M5-25,1224,1258,Insert plunger into applicator.,4,4,4,4
M5-25_4,M5-25,1276,1391,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-25_5,M5-25,1418,1514,Apply manual pressure if necessary.,0,0,0,0
M5-26_0,M5-26,219,724,Apply manual pressure if necessary.,0,0,0,0
M5-26_1,M5-26,343,455,Open inner packaging and remove applicator.,1,1,1,1
M5-26_2,M5-26,736,865,Insert plunger into applicator.,4,4,4,4
M5-26_3,M5-26,873,999,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-26_4,M5-26,1028,1108,Apply manual pressure if necessary.,0,0,0,0
M5-27_0,M5-27,214,859,Apply manual pressure if necessary.,0,0,0,0
M5-27_1,M5-27,321,649,Open inner packaging and remove applicator.,1,1,1,1
M5-27_2,M5-27,731,907,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-27_3,M5-27,915,948,Insert plunger into applicator.,4,4,4,4
M5-27_4,M5-27,971,1071,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-27_5,M5-27,1094,1193,Apply manual pressure if necessary.,0,0,0,0
M5-28_0,M5-28,215,341,Apply manual pressure if necessary.,0,0,0,0
M5-28_1,M5-28,343,552,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-28_2,M5-28,553,593,Insert plunger into applicator.,4,4,4,4
M5-28_3,M5-28,594,679,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-28_4,M5-28,736,857,Apply manual pressure if necessary.,0,0,0,0
M5-29_0,M5-29,223,618,Apply manual pressure if necessary.,0,0,0,0
M5-29_1,M5-29,349,688,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-29_2,M5-29,708,740,Insert plunger into applicator.,4,4,4,4
M5-29_3,M5-29,763,949,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-29_4,M5-29,981,1070,Apply manual pressure if necessary.,0,0,0,0
M5-30_0,M5-30,200,561,Apply manual pressure if necessary.,0,0,0,0
M5-30_1,M5-30,348,600,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-30_2,M5-30,624,652,Insert plunger into applicator.,4,4,4,4
M5-30_3,M5-30,688,771,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-30_4,M5-30,807,880,Apply manual pressure if necessary.,0,0,0,0
M5-31_0,M5-31,239,286,Apply manual pressure if necessary.,0,0,0,0
M5-31_1,M5-31,290,754,Open inner packaging and remove applicator.,1,1,1,1
M5-31_2,M5-31,899,946,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-31_3,M5-31,946,982,Insert plunger into applicator.,4,4,4,4
M5-31_4,M5-31,982,1108,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-31_5,M5-31,1135,1386,Apply manual pressure if necessary.,0,0,0,0
M5-33_0,M5-33,268,625,Apply manual pressure if necessary.,0,0,0,0
M5-33_1,M5-33,358,508,Open inner packaging and remove applicator.,1,1,1,1
M5-33_2,M5-33,533,644,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-33_3,M5-33,672,709,Insert plunger into applicator.,4,4,4,4
M5-33_4,M5-33,715,868,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-33_5,M5-33,903,1077,Apply manual pressure if necessary.,0,0,0,0
M5-35_0,M5-35,261,612,Apply manual pressure if necessary.,0,0,0,0
M5-35_1,M5-35,353,461,Open inner packaging and remove applicator.,1,1,1,1
M5-35_2,M5-35,489,660,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-35_3,M5-35,677,722,Insert plunger into applicator.,4,4,4,4
M5-35_4,M5-35,748,849,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-35_5,M5-35,884,1047,Apply manual pressure if necessary.,0,0,0,0
M5-36_0,M5-36,260,679,Apply manual pressure if necessary.,0,0,0,0
M5-36_1,M5-36,420,552,Open inner packaging and remove applicator.,1,1,1,1
M5-36_2,M5-36,577,716,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-36_3,M5-36,735,768,Insert plunger into applicator.,4,4,4,4
M5-36_4,M5-36,782,888,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-36_5,M5-36,923,1122,Apply manual pressure if necessary.,0,0,0,0
M5-37_0,M5-37,259,500,Apply manual pressure if necessary.,0,0,0,0
M5-37_1,M5-37,394,583,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-37_2,M5-37,631,660,Insert plunger into applicator.,4,4,4,4
M5-37_3,M5-37,663,825,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-37_4,M5-37,853,1048,Apply manual pressure if necessary.,0,0,0,0
M5-4_0,M5-4,176,259,Open inner packaging and remove applicator.,1,1,1,1
M5-4_1,M5-4,279,327,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-4_2,M5-4,335,356,Insert plunger into applicator.,4,4,4,4
M5-4_3,M5-4,366,509,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-4_4,M5-4,555,596,Open inner packaging and remove applicator.,1,1,1,1
M5-4_5,M5-4,636,710,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-4_6,M5-4,717,746,Insert plunger into applicator.,4,4,4,4
M5-4_7,M5-4,752,835,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-4_8,M5-4,991,1196,Apply manual pressure if necessary.,0,0,0,0
M5-41_0,M5-41,215,1433,Apply manual pressure if necessary.,0,0,0,0
M5-41_1,M5-41,315,1084,Open inner packaging and remove applicator.,1,1,1,1
M5-41_2,M5-41,1181,1490,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-41_3,M5-41,1509,1570,Insert plunger into applicator.,4,4,4,4
M5-41_4,M5-41,1571,1729,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-41_5,M5-41,1815,1979,Apply manual pressure if necessary.,0,0,0,0
M5-42_0,M5-42,263,1263,Apply manual pressure if necessary.,0,0,0,0
M5-42_1,M5-42,526,724,Open inner packaging and remove applicator.,1,1,1,1
M5-42_2,M5-42,818,1318,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-42_3,M5-42,1339,1399,Insert plunger into applicator.,4,4,4,4
M5-42_4,M5-42,1431,1559,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-42_5,M5-42,1628,1758,Apply manual pressure if necessary.,0,0,0,0
M5-43_0,M5-43,257,1163,Apply manual pressure if necessary.,0,0,0,0
M5-43_1,M5-43,559,781,Open inner packaging and remove applicator.,1,1,1,1
M5-43_2,M5-43,917,1242,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-43_3,M5-43,1278,1328,Insert plunger into applicator.,4,4,4,4
M5-43_4,M5-43,1336,1451,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-43_5,M5-43,1516,1618,Apply manual pressure if necessary.,0,0,0,0
M5-44_0,M5-44,246,1009,Apply manual pressure if necessary.,0,0,0,0
M5-44_1,M5-44,540,1081,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-44_2,M5-44,1101,1132,Insert plunger into applicator.,4,4,4,4
M5-44_3,M5-44,1151,1302,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-44_4,M5-44,1383,1456,Apply manual pressure if necessary.,0,0,0,0
M5-45_0,M5-45,227,852,Apply manual pressure if necessary.,0,0,0,0
M5-45_1,M5-45,550,957,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-45_2,M5-45,999,1040,Insert plunger into applicator.,4,4,4,4
M5-45_3,M5-45,1068,1292,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-45_4,M5-45,1366,1467,Apply manual pressure if necessary.,0,0,0,0
M5-46_0,M5-46,225,584,Apply manual pressure if necessary.,0,0,0,0
M5-46_1,M5-46,309,753,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-46_2,M5-46,785,851,Insert plunger into applicator.,4,4,4,4
M5-46_3,M5-46,854,1024,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-46_4,M5-46,1041,1185,Apply manual pressure if necessary.,0,0,0,0
M5-47_0,M5-47,190,369,Apply manual pressure if necessary.,0,0,0,0
M5-47_1,M5-47,284,428,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-47_2,M5-47,448,488,Insert plunger into applicator.,4,4,4,4
M5-47_3,M5-47,508,705,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-47_4,M5-47,763,893,Apply manual pressure if necessary.,0,0,0,0
M5-48_0,M5-48,227,370,Apply manual pressure if necessary.,0,0,0,0
M5-48_1,M5-48,295,443,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-48_2,M5-48,464,511,Insert plunger into applicator.,4,4,4,4
M5-48_3,M5-48,540,1021,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-48_4,M5-48,1053,1208,Apply manual pressure if necessary.,0,0,0,0
M5-49_0,M5-49,218,606,Apply manual pressure if necessary.,0,0,0,0
M5-49_1,M5-49,285,880,Open inner packaging and remove applicator.,1,1,1,1
M5-49_2,M5-49,922,1145,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-49_3,M5-49,1164,1204,Insert plunger into applicator.,4,4,4,4
M5-49_4,M5-49,1287,1456,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-49_5,M5-49,1496,1682,Apply manual pressure if necessary.,0,0,0,0
M5-5_0,M5-5,170,259,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-5_1,M5-5,275,391,Insert plunger into applicator.,4,4,4,4
M5-5_2,M5-5,410,522,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-5_3,M5-5,532,726,Apply manual pressure if necessary.,0,0,0,0
M5-50_0,M5-50,184,234,Apply manual pressure if necessary.,0,0,0,0
M5-50_1,M5-50,245,345,Open inner packaging and remove applicator.,1,1,1,1
M5-50_2,M5-50,412,636,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-50_3,M5-50,667,744,Insert plunger into applicator.,4,4,4,4
M5-50_4,M5-50,803,958,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-50_5,M5-50,1023,1204,Apply manual pressure if necessary.,0,0,0,0
M5-7_0,M5-7,294,317,Open inner packaging and remove applicator.,1,1,1,1
M5-7_1,M5-7,346,453,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-7_2,M5-7,468,589,Insert plunger into applicator.,4,4,4,4
M5-7_3,M5-7,608,727,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-7_4,M5-7,754,894,Apply manual pressure if necessary.,0,0,0,0
M5-8_0,M5-8,271,514,Apply manual pressure if necessary.,0,0,0,0
M5-8_1,M5-8,299,348,Open inner packaging and remove applicator.,1,1,1,1
M5-8_2,M5-8,361,516,Insert applicator into wound track as close to bleeding source as possible.,3,3,3,3
M5-8_3,M5-8,541,573,Insert plunger into applicator.,4,4,4,4
M5-8_4,M5-8,584,749,Push plunger firmly to deploy sponges into wound.,2,2,2,2
M5-8_5,M5-8,772,888,Apply manual pressure if necessary.,0,0,0,0
